date_list,image_list,title_list,para_list
"July 3, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/07/Star-Alliance-Los-Angeles-Lounge-gets-airport-lounge-award-150x92.png,Star Alliance Los Angeles Lounge gets airport lounge award,"Star Alliance Los Angeles Lounge gets airport lounge award


                            July 3, 2024                        

                            Star Alliance’s Los Angeles airport lounge has been honored with the title of North America’s Leading Airport Lounge for the fifth year running at this year's prestigious World Travel Awards. The award…"
"April 24, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/04/WTM-Africa-2024-signals-surging-interest-in-African-tourism-150x100.jpg,WTM Africa 2024 signals surging interest in African tourism,"WTM Africa 2024 signals surging interest in African tourism


                            April 24, 2024                        

                            World Travel Market Africa (WTM Africa) wrapped up its 2024 edition with record-breaking numbers, demonstrating a significant surge in global interest towards African travel and tourism."
"April 15, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/04/downThe-Radisson-brand-enters-Cape-Townload-146x100.jpg,The Radisson brand enters Cape Town,"The Radisson brand enters Cape Town


                            April 15, 2024                        

                            Radisson Hotel Group brings the renowned Radisson brand to South Africa’s “Mother City” with the rebranding of Park Inn Cape Town Foreshore to Radisson Hotel Cape Town Foreshore."
"February 28, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/02/Radisson-Hotel-Group-eyes-50-percent-expansion-in-Africa-142x100.jpg,Radisson Hotel Group eyes 50 percent expansion in Africa,"Radisson Hotel Group eyes 50 percent expansion in Africa


                            February 28, 2024                        

                            Radisson Hotel Group says it is targeting a 50 percent expansion of its West and Central African portfolio, consisting of 29 hotels and over 5,000 rooms in operation and under development."
"February 14, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/02/Radisson-expands-its-presence-in-Africa-Middle-East-148x100.jpg,"Radisson expands its presence in Africa, Middle East","Radisson expands its presence in Africa, Middle East


                            February 14, 2024                        

                            Radisson Hotel Group expands its presence in Africa, Middle East during 2023 by signing 22 hotels, resorts, and serviced apartments, adding over 3,800 rooms to its regional portfolio."
"February 1, 2024",https://newbusinessethiopia.com/wp-content/uploads/2024/02/Radisson-announces-its-first-safari-hotel-in-South-Africa-150x96.jpg,Radisson announces its first safari hotel in South Africa,"Radisson announces its first safari hotel in South Africa


                            February 1, 2024                        

                            Radisson Hotel Group announced the opening of Radisson Safari Hotel Hoedspruit, its first Safari hotel in Africa and 11th hotel in South Africa."
"November 2, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/11/World-travel-tourism-recovering-says-WTTC-president-150x100.jpg,"World travel, tourism recovering, says WTTC president","World travel, tourism recovering, says WTTC president


                            November 2, 2023                        

                            The global Travel & Tourism sector is making a robust comeback, bouncing back to the pre-pandemic vigour of 2019, says World Travel & Tourism Council (WTTC) President & CEO Julia Simpson."
"August 28, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/08/Star-Alliances-Los-Angeles-airport-lounge-wins-award-150x100.png,Star Alliance’s Los Angeles airport lounge wins award,"Star Alliance’s Los Angeles airport lounge wins award


                            August 28, 2023                        

                            Star Alliance’s Los Angeles airport lounge has won the title of North America’s Leading Airport Lounge for the fourth year running at the World Travel Awards 2023."
"July 18, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/07/Emirates-introduces-onboard-meal-preordering-service-150x94.jpg,Emirates introduces onboard meal preordering service,"Emirates introduces onboard meal preordering service


                            July 18, 2023                        

                            Emirates takes the first steps in an innovative initiative of meal preordering, whereby customers will be able to preselect their hot main meal between 14 days and 24 hours in advance of…"
"July 3, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/07/Hotel-hospitality-business-in-Ethiopia-150x100.jpg,"Hotel, hospitality business in Ethiopia","Hotel, hospitality business in Ethiopia


                            July 3, 2023                        

                            By Woubishet Sisay – The hotel and hospitality industry in Ethiopia has experienced significant growth and development in recent years."
"June 14, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/06/Radisson-Hotel-Group-announces-seven-new-hotels-in-Africa-131x100.jpg,Radisson Hotel Group announces seven new hotels in Africa,"Radisson Hotel Group announces seven new hotels in Africa


                            June 14, 2023                        

                            Radisson Hotel Group continues its ambitious growth in Africa with the signing of seven new hotels, adding over 1,400 rooms to its African portfolio."
"May 6, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/05/Ethiopian-Airlines-inaugurates-Skylight-Hotel-2nd-phase-150x100.jpg,Ethiopian Airlines inaugurates Skylight Hotel 2nd phase,"Ethiopian Airlines inaugurates Skylight Hotel 2nd phase


                            May 6, 2023                        

                            Ethiopian Airlines Group holds a grand opening of the largest hotel on the African continent as it inaugurates the second phase of Ethiopian Skylight Hotel."
"March 20, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/03/Radisson-Hotel-expands-presence-in-Africa-150x92.jpg,Radisson Hotel expands presence in Africa,"Radisson Hotel expands presence in Africa


                            March 20, 2023                        

                            Radisson Hotel Group, one of the fastest-growing hotel companies in Africa, plans to strengthen its robust African presence in 2023 further with the opening of eight new hotel already confirmed to date."
"February 5, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/02/Ethiopian-Airlines-opens-aviation-training-center-in-Hawassa-119x100.jpg,Ethiopian Airlines opens aviation training center in Hawassa,"Ethiopian Airlines opens aviation training center in Hawassa


                            February 5, 2023                        

                            Ethiopian Airlines Group, the largest aviation group in Africa, inaugurates a new aviation training center in the city of Hawassa, southern part of Ethiopia."
"January 13, 2023",https://newbusinessethiopia.com/wp-content/uploads/2023/01/Emirates-to-recruit-cabin-crew-in-Ethiopia-150x93.png,Emirates to recruit cabin crew in Ethiopia,"Emirates to recruit cabin crew in Ethiopia


                            January 13, 2023                        

                            Emirates, the world’s largest international airline, is looking for candidates to join its multinational cabin crew team with assessment day planned in Addis Ababa on the 17th of January."
